N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
172.0,ACE 미국S&P500,21755.0,하락  95,-0.43%,0.0,,,
173.0,한국앤컴퍼니,16950.0,상승  110,+0.65%,500.0,10897.0,46410.0,2566.0
174.0,KODEX 단기채권PLUS,113110.0,상승  70,+0.06%,0.0,,,
175.0,오뚜기,389500.0,"하락  1,000",-0.26%,5000.0,34545.0,34965.0,2549.0
176.0,코리안리,7980.0,하락  50,-0.62%,500.0,69633.0,120663.0,3637.0
177.0,GS건설,17950.0,상승  600,+3.46%,5000.0,134367.0,177073.0,-3879.0
178.0,한화엔진,18330.0,하락  360,-1.93%,1000.0,8544.0,11369.0,87.0
179.0,롯데쇼핑,53200.0,상승  900,+1.72%,5000.0,145559.0,306447.0,5084.0
180.0,호텔신라,38150.0,"상승  1,500",+4.09%,5000.0,35685.0,30065.0,912.0
181.0,풍산,53200.0,"상승  1,500",+2.90%,5000.0,41253.0,36606.0,2286.0
182.0,대웅제약,127200.0,상승  400,+0.32%,2500.0,13753.0,17703.0,1226.0
183.0,DB하이텍,33050.0,상승  150,+0.46%,5000.0,11542.0,20434.0,2654.0
184.0,GS리테일,17170.0,상승  30,+0.18%,1000.0,116125.0,100420.0,3940.0
185.0,에스엘,30150.0,보합0,0.00%,500.0,48388.0,32357.0,3862.0
186.0,DGB금융지주,8250.0,상승  80,+0.98%,5000.0,78114.0,933598.0,5343.0
187.0,일진전기,28950.0,하락  200,-0.69%,1000.0,12467.0,9289.0,608.0
188.0,금호타이어,4790.0,상승  70,+1.48%,5000.0,40414.0,48310.0,4110.0
189.0,하이트진로,19600.0,상승  140,+0.72%,5000.0,25202.0,33583.0,1239.0
190.0,HD현대인프라코어,7000.0,하락  10,-0.14%,1000.0,46596.0,44184.0,4183.0
191.0,에스디바이오센서,10830.0,상승  140,+1.31%,500.0,6557.0,37888.0,-2481.0
192.0,RISE 종합채권(A-이상)액티브,108405.0,상승  235,+0.22%,0.0,,,
193.0,대우건설,3205.0,상승  110,+3.55%,5000.0,116478.0,112431.0,6625.0
194.0,한국콜마,56300.0,하락  700,-1.23%,500.0,21557.0,30094.0,1361.0
195.0,금양,20550.0,상승  990,+5.06%,500.0,1520.0,7035.0,-146.0
196.0,동원산업,36300.0,보합0,0.00%,1000.0,89486.0,77251.0,4647.0
197.0,TIGER 25-10 회사채(A+이상)액티브,54155.0,상승  35,+0.06%,0.0,,,
198.0,경동나비엔,89000.0,"상승  2,300",+2.65%,1000.0,12043.0,10606.0,1059.0
199.0,신세계,130800.0,상승  800,+0.62%,5000.0,63571.0,147520.0,6398.0
200.0,ACE 미국나스닥100,23645.0,하락  105,-0.44%,0.0,,,
201.0,신영증권,76400.0,상승  100,+0.13%,5000.0,27643.0,106099.0,1704.0
202.0,OCI홀딩스,65200.0,"상승  6,700",+11.45%,5000.0,26497.0,59566.0,5312.0
203.0,SK리츠,4570.0,상승  60,+1.33%,500.0,524.0,42326.0,352.0
204.0,대웅,21350.0,상승  150,+0.71%,500.0,18138.0,23593.0,1956.0
205.0,LG화학우,161000.0,"상승  7,200",+4.68%,5000.0,,,
206.0,KODEX 코스닥150,11755.0,상승  435,+3.84%,0.0,,,
207.0,DL이앤씨,31350.0,상승  650,+2.12%,5000.0,79911.0,93441.0,3307.0
208.0,동원시스템즈,41100.0,"상승  1,500",+3.79%,5000.0,12767.0,15359.0,809.0
209.0,종근당,89600.0,상승  500,+0.56%,2500.0,16694.0,14024.0,2466.0
210.0,HDC현대산업개발,17790.0,상승  140,+0.79%,5000.0,41908.0,70163.0,1953.0
211.0,TIGER 미국30년국채커버드콜액티브(H),8495.0,상승  60,+0.71%,0.0,,,
212.0,한솔케미칼,102500.0,"상승  8,500",+9.04%,5000.0,7717.0,13510.0,1241.0
213.0,KODEX 200선물인버스2X,2490.0,하락  105,-4.05%,0.0,,,
214.0,한샘,48000.0,상승  350,+0.73%,1000.0,19669.0,10515.0,19.0
215.0,두산퓨얼셀,17230.0,상승  930,+5.71%,100.0,2609.0,10708.0,16.0
216.0,더블유게임즈,52300.0,하락  200,-0.38%,500.0,5823.0,12878.0,2133.0
217.0,HD현대건설기계,61200.0,하락  200,-0.33%,5000.0,38250.0,32970.0,2572.0
218.0,롯데에너지머티리얼즈,24100.0,"상승  1,350",+5.93%,500.0,8090.0,23922.0,118.0
219.0,영원무역홀딩스,80800.0,하락  300,-0.37%,500.0,43555.0,63793.0,8726.0
220.0,DN오토모티브,18330.0,하락  10,-0.05%,100.0,32692.0,45674.0,4904.0
221.0,LX인터내셔널,27800.0,상승  900,+3.35%,5000.0,145143.0,79953.0,4331.0
222.0,롯데렌탈,29650.0,상승  200,+0.68%,5000.0,27523.0,67181.0,3052.0
223.0,TIGER 25-12 금융채(AA-이상),50415.0,상승  20,+0.04%,0.0,,,
224.0,메리츠 KIS CD금리투자 ETN,53285.0,보합0,0.00%,0.0,,,
225.0,현대위아,39300.0,상승  800,+2.08%,5000.0,85903.0,68259.0,2292.0
226.0,현대백화점,46800.0,"상승  1,050",+2.30%,5000.0,42075.0,117126.0,3035.0
227.0,DI동일,49250.0,하락  50,-0.10%,500.0,6829.0,9757.0,63.0
228.0,롯데정밀화학,40700.0,"상승  1,550",+3.96%,5000.0,17686.0,26829.0,1548.0
229.0,롯데칠성,112500.0,"상승  4,100",+3.78%,500.0,32247.0,42577.0,2107.0
230.0,TIGER CD1년금리액티브(합성),1033230.0,상승  95,+0.01%,0.0,,,
231.0,RISE 200,32825.0,상승  600,+1.86%,0.0,,,
232.0,롯데웰푸드,109500.0,"상승  1,500",+1.39%,500.0,40664.0,41991.0,1770.0
233.0,효성티앤씨,238500.0,"상승  9,500",+4.15%,5000.0,75269.0,40705.0,2134.0
234.0,한일시멘트,14760.0,상승  350,+2.43%,500.0,17995.0,28679.0,2465.0
235.0,세방전지,72400.0,"상승  1,400",+1.97%,500.0,16848.0,18410.0,1299.0
236.0,KODEX 삼성그룹,8105.0,상승  110,+1.38%,0.0,,,
237.0,RISE CD금리액티브(합성),102785.0,상승  25,+0.02%,0.0,,,
238.0,솔루엠,19930.0,상승  80,+0.40%,500.0,19511.0,9386.0,1545.0
239.0,이수스페셜티케미컬,32900.0,"상승  2,850",+9.48%,1000.0,1175.0,2180.0,-61.0
240.0,KODEX 2차전지산업,12510.0,상승  560,+4.69%,0.0,,,
241.0,KODEX 25-11 은행채(AA-이상)PLUS액티브,10395.0,상승  10,+0.10%,0.0,,,
242.0,KODEX 25-12 은행채(AAA)액티브,101300.0,상승  70,+0.07%,0.0,,,
243.0,KB발해인프라,7760.0,하락  50,-0.64%,0.0,,,
244.0,ESR켄달스퀘어리츠,4460.0,상승  125,+2.88%,1000.0,559.0,24733.0,288.0
245.0,LS에코에너지,30900.0,하락  100,-0.32%,500.0,7311.0,4084.0,295.0
246.0,오리온홀딩스,15040.0,하락  50,-0.33%,500.0,29538.0,51383.0,4055.0
247.0,LX세미콘,57800.0,상승  900,+1.58%,500.0,19014.0,12051.0,1290.0
248.0,프레스티지바이오파마,15610.0,상승  280,+1.83%,0.0,7.0,7117.0,-628.0
249.0,SK네트웍스,4235.0,상승  75,+1.80%,2500.0,91339.0,91104.0,2373.0
250.0,RISE 미국나스닥100,22835.0,하락  115,-0.50%,0.0,,,
251.0,미래에셋생명,5230.0,하락  20,-0.38%,5000.0,50534.0,330920.0,1691.0
252.0,롯데리츠,3160.0,상승  20,+0.64%,500.0,600.0,23018.0,376.0
253.0,TIGER 미국배당다우존스타겟커버드콜2호,10905.0,하락  30,-0.27%,0.0,,,
254.0,보령,10370.0,상승  100,+0.97%,500.0,8596.0,9155.0,683.0
255.0,파라다이스,9800.0,상승  130,+1.34%,500.0,9942.0,36183.0,1458.0
256.0,하나투어,55400.0,상승  700,+1.28%,500.0,4116.0,6446.0,340.0
257.0,CJ CGV,5310.0,상승  20,+0.38%,500.0,15458.0,31942.0,491.0
258.0,TIGER 2차전지테마,15370.0,상승  755,+5.17%,0.0,,,
259.0,미원상사,183000.0,"하락  2,100",-1.13%,500.0,4214.0,4476.0,672.0
260.0,삼성화재우,269000.0,"하락  2,500",-0.92%,500.0,,,
261.0,KODEX MSCI Korea TR,10880.0,상승  200,+1.87%,0.0,,,
262.0,HD현대마린엔진,24600.0,"하락  1,700",-6.46%,2500.0,2450.0,4540.0,179.0
263.0,SOL 종합채권(AA-이상)액티브,113085.0,상승  75,+0.07%,0.0,,,
264.0,HS효성첨단소재,182000.0,"상승  8,700",+5.02%,5000.0,32023.0,30344.0,1724.0
265.0,SK오션플랜트,13650.0,상승  260,+1.94%,500.0,9258.0,14319.0,756.0
266.0,대신증권,15860.0,하락  160,-1.00%,5000.0,38546.0,226435.0,1613.0
267.0,빙그레,81400.0,상승  200,+0.25%,5000.0,13943.0,8907.0,1122.0
268.0,다우기술,17770.0,상승  160,+0.91%,500.0,98551.0,533425.0,6399.0
269.0,쿠쿠홀딩스,22200.0,하락  800,-3.48%,100.0,7723.0,12481.0,866.0
270.0,SK케미칼,45550.0,"상승  1,150",+2.59%,5000.0,17488.0,41588.0,833.0
271.0,대덕전자,15900.0,상승  510,+3.31%,500.0,9097.0,11275.0,237.0
272.0,현대지에프홀딩스,4960.0,상승  80,+1.64%,500.0,26295.0,50517.0,-110.0
273.0,SOL 미국배당다우존스,11775.0,하락  55,-0.46%,0.0,,,
274.0,하나 CD금리투자 ETN,102880.0,보합0,0.00%,0.0,,,
275.0,녹십자홀딩스,16350.0,상승  160,+0.99%,500.0,20579.0,37377.0,-164.0
276.0,한화투자증권,3575.0,상승  90,+2.58%,5000.0,19690.0,132502.0,315.0
277.0,TCC스틸,29200.0,"상승  1,800",+6.57%,1000.0,6244.0,5597.0,113.0
278.0,이노션,19090.0,하락  10,-0.05%,500.0,20929.0,25602.0,1500.0
279.0,RISE 미국S&P500,18760.0,하락  90,-0.48%,0.0,,,
280.0,효성,45550.0,하락  400,-0.87%,5000.0,34367.0,50889.0,944.0
